127.0.0.1 - - [23/Mar/2023:10:29:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:29:57 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:29:57 +0530] "GET /TechBlog/my.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:29:57 +0530] "GET /TechBlog/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:29:58 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:30:48 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:30:53 +0530] "GET /TechBlog/register-page.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:31:44 +0530] "POST /TechBlog/UserServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:32:13 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:32:29 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:32:29 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 3146
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:32:46 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:32:46 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:33:18 +0530] "GET /TechBlog/register-page.jsp HTTP/1.1" 200 5268
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:33:46 +0530] "POST /TechBlog/UserServlet HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:33:52 +0530] "POST /TechBlog/UserServlet HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:35:07 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:37:48 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:37:53 +0530] "GET /TechBlog/register-page.jsp HTTP/1.1" 200 5377
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:51:28 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:51:48 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:51:49 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 3127
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:52:05 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:52:05 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:57:16 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:57:34 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:10:57:34 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 4127
0:0:0:0:0:0:0:1 - - [23/Mar/2023:11:03:26 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 4194
