127.0.0.1 - - [25/Apr/2023:11:04:18 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:04:23 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:04:24 +0530] "GET /TechBlog/my.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:04:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:04:44 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:05:02 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:05:02 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10169
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:05:14 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:05:14 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:05:16 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:50:04 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:50:07 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4696
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:50:19 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:50:22 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10267
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:51:12 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10287
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:52:27 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10327
0:0:0:0:0:0:0:1 - - [25/Apr/2023:11:59:01 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10473
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:02:21 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10568
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:02:22 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:04:26 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10595
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:04:27 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:08:03 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:08:04 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:09:47 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:09:47 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:09:48 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:09:49 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:09:52 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:09:52 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:37 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:37 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:38 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:38 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:41 +0530] "GET /TechBlog/profile.jsp HTTP/1.1" 200 10653
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:10:41 +0530] "GET /TechBlog/load-posts.jsp HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:12:04 +0530] "GET /TechBlog/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:12:04 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4802
0:0:0:0:0:0:0:1 - - [25/Apr/2023:12:12:12 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 6799
