127.0.0.1 - - [22/Jan/2024:09:53:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:53:39 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:53:39 +0530] "GET /TechBlog/mystyle.css HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:53:39 +0530] "GET /TechBlog/my.js HTTP/1.1" 200 437
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:53:41 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:54:11 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 4978
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:54:28 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:54:28 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:54:43 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:54:43 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:55:00 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:55:00 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:55:19 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:55:19 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:55:27 +0530] "POST /TechBlog/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:55:27 +0530] "GET /TechBlog/login-page.jsp HTTP/1.1" 200 5093
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:55:39 +0530] "GET /TechBlog/index.jsp HTTP/1.1" 200 7077
0:0:0:0:0:0:0:1 - - [22/Jan/2024:09:55:42 +0530] "POST /TechBlog/index.jsp HTTP/1.1" 200 7077
